"","Programa","Periodo","Titulares","Sexo","Provincia"
"1","AT","201512","48400","F","BUENOS_AIRES"
"2","AT","201512","32132","M","BUENOS_AIRES"
"3","AT","201512","3","F","CAPITAL_FEDERAL"
"4","AT","201512","577","F","CATAMARCA"
"5","AT","201512","408","M","CATAMARCA"
"6","AT","201512","1495","F","CHACO"
"7","AT","201512","1608","M","CHACO"
"8","AT","201512","623","F","CORRIENTES"
"9","AT","201512","1023","M","CORRIENTES"
"10","AT","201512","1746","F","ENTRE_RIOS"
"11","AT","201512","1323","M","ENTRE_RIOS"
"12","AT","201512","279","F","FORMOSA"
"13","AT","201512","241","M","FORMOSA"
"14","AT","201512","461","F","LA_RIOJA"
"15","AT","201512","446","M","LA_RIOJA"
"16","AT","201512","465","F","MENDOZA"
"17","AT","201512","264","M","MENDOZA"
"18","AT","201512","386","F","MISIONES"
"19","AT","201512","282","M","MISIONES"
"20","AT","201512","169","F","RIO_NEGRO"
"21","AT","201512","80","M","RIO_NEGRO"
"22","AT","201512","304","F","SALTA"
"23","AT","201512","174","M","SALTA"
"24","AT","201512","500","F","SAN_JUAN"
"25","AT","201512","497","M","SAN_JUAN"
"26","AT","201512","131","F","SAN_LUIS"
"27","AT","201512","37","M","SAN_LUIS"
"28","AT","201512","656","F","SANTIAGO_DEL_ESTERO"
"29","AT","201512","1074","M","SANTIAGO_DEL_ESTERO"
"30","AT","201512","5052","F","TUCUMAN"
"31","AT","201512","5295","M","TUCUMAN"
"32","AT","201612","63712","F","BUENOS_AIRES"
"33","AT","201612","44194","M","BUENOS_AIRES"
"34","AT","201612","95","F","CAPITAL_FEDERAL"
"35","AT","201612","52","M","CAPITAL_FEDERAL"
"36","AT","201612","639","F","CATAMARCA"
"37","AT","201612","500","M","CATAMARCA"
"38","AT","201612","1849","F","CHACO"
"39","AT","201612","1992","M","CHACO"
"40","AT","201612","29","F","CORDOBA"
"41","AT","201612","34","M","CORDOBA"
"42","AT","201612","774","F","CORRIENTES"
"43","AT","201612","1285","M","CORRIENTES"
"44","AT","201612","1695","F","ENTRE_RIOS"
"45","AT","201612","1338","M","ENTRE_RIOS"
"46","AT","201612","415","F","FORMOSA"
"47","AT","201612","353","M","FORMOSA"
"48","AT","201612","207","F","JUJUY"
"49","AT","201612","325","M","JUJUY"
"50","AT","201612","540","F","LA_RIOJA"
"51","AT","201612","547","M","LA_RIOJA"
"52","AT","201612","602","F","MENDOZA"
"53","AT","201612","346","M","MENDOZA"
"54","AT","201612","555","F","MISIONES"
"55","AT","201612","480","M","MISIONES"
